place_name,property_type,count,mean,std,min,25%,50%,75%,max
Achiras,apartment,0.0,,,,,,,
Achiras,house,1.0,100000.0,,100000.0,100000.0,100000.0,100000.0,100000.0
Achiras,store,0.0,,,,,,,
Agua de Oro,house,3.0,391281.6966666666,443748.74685911625,83845.09,136922.54499999998,190000.0,545000.0,900000.0
Almafuerte,house,1.0,61692.04,,61692.04,61692.04,61692.04,61692.04,61692.04
Alta Gracia,apartment,3.0,231000.0,76177.42447733448,145000.0,201500.0,258000.0,274000.0,290000.0
Alta Gracia,house,14.0,298890.5535714286,492623.13490470406,30846.02,82637.855,147500.0,237500.0,1950000.0
Anisacate,house,6.0,136088.41666666666,80970.09579477862,36454.38,82723.41500000001,138583.675,165000.0,265000.0
Ascochinga,house,6.0,231666.66666666666,116861.7416722285,130000.0,165000.0,190000.0,252500.0,450000.0
Balnearia,house,0.0,,,,,,,
Bell Ville,house,2.0,126501.92,61515.57467318988,83003.84,104752.88,126501.92,148250.96,170000.0
Bialet Massé,house,4.0,92393.08750000001,33723.97163452666,44866.94,80620.28,102352.705,114125.51250000001,120000.0
Bouwer,house,0.0,,,,,,,
Cabalango,house,1.0,800000.0,,800000.0,800000.0,800000.0,800000.0,800000.0
Cabalango,store,1.0,130000.0,,130000.0,130000.0,130000.0,130000.0,130000.0
Calmayo,house,1.0,60000.0,,60000.0,60000.0,60000.0,60000.0,60000.0
Capilla del Monte,house,8.0,220300.625,197079.3467777075,53279.49,88531.3775,147500.0,255000.0,600000.0
Casa Grande,house,1.0,245000.0,,245000.0,245000.0,245000.0,245000.0,245000.0
Colonia Caroya,house,13.0,175708.5830769231,120187.31887128965,53279.49,112167.35,140209.19,168251.03,490000.0
Colonia Tirolesa,house,4.0,76974.8425,31743.478434489374,47671.12,51456.7675,74030.45,99548.525,112167.35
Colonia Tirolesa,store,0.0,,,,,,,
Cosquín,apartment,0.0,,,,,,,
Cosquín,house,6.0,115743.03666666667,75593.38411233635,35332.71,77281.3775,92062.755,137500.0,250000.0
Cosquín,store,1.0,1800000.0,,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0
Cruz del Eje,house,4.0,330500.0,186800.24982138898,120000.0,217500.0,325000.0,438000.0,552000.0
Córdoba,PH,117.0,399914.13205128204,709655.484647352,10655.89,74000.0,135000.0,200000.0,2800000.0
