"PX","price_per_m2","property_type","surface_covered_in_m","rooms","place_name","operation"
"  178,000.00 ","  2,870.97 ","APARTMENT","62","3","BELGRANO","sell"
"  205,000.00 ","  4,361.70 ","APARTMENT","47","2","PUERTO MADERO","sell"
"  169,000.00 ","  2,913.79 ","APARTMENT","58","3","PALERMO","sell"
"  527,000.00 ","  2,848.65 ","APARTMENT","185","5","RECOLETA","sell"
"  440,000.00 ","  3,464.57 ","APARTMENT","127","4","PALERMO","sell"
"  80,000.00 ","  2,000.00 ","APARTMENT","40","2","SAN CRISTOBAL","sell"
"  119,000.00 ","  2,479.17 ","APARTMENT","48","2","SAN TELMO","sell"
"  131,500.00 ","  2,120.97 ","APARTMENT","62","2","VILLA DEL PARQUE","sell"
"  750,000.00 ","  3,409.09 ","APARTMENT","220","6","CABALLITO","sell"
"  118,000.00 ","  2,878.05 ","APARTMENT","41","1","CABALLITO","sell"
"  172,000.00 ","  3,372.55 ","APARTMENT","51","2","PALERMO","sell"
"  110,000.00 ","  2,972.97 ","APARTMENT","37","2","BELGRANO","sell"
"  160,000.00 ","  1,951.22 ","APARTMENT","82","4","BALVANERA","sell"
"  280,000.00 ","  2,666.67 ","APARTMENT","105","3","RECOLETA","sell"
"  139,000.00 ","  2,171.88 ","APARTMENT","64","2","VILLA ORTUZAR","sell"
"  155,000.00 ","  3,163.27 ","APARTMENT","49","1","BELGRANO","sell"
"  94,000.00 ","  2,611.11 ","APARTMENT","36","2","BELGRANO","sell"
"  158,000.00 ","  2,051.95 ","APARTMENT","77","3","CABALLITO","sell"
"  114,000.00 ","  2,780.49 ","APARTMENT","41","1","VILLA URQUIZA","sell"
"  585,000.00 ","  3,362.07 ","APARTMENT","174","4","PALERMO","sell"
"  169,900.00 ","  2,785.25 ","APARTMENT","61","3","BELGRANO","sell"
"  698,000.00 ","  3,877.78 ","APARTMENT","180","5","NUÑEZ","sell"
"  241,900.00 ","  2,986.42 ","APARTMENT","81","3","RECOLETA","sell"
"  375,000.00 ","  4,032.26 ","APARTMENT","93","4","VILLA URQUIZA","sell"
"  172,000.00 ","  3,372.55 ","APARTMENT","51","2","PALERMO","sell"
"  135,592.00 ","  2,337.79 ","APARTMENT","58","2","SAAVEDRA","sell"
"  470,000.00 ","  4,700.00 ","APARTMENT","100","4","VILLA DEVOTO","sell"
"  300,000.00 ","  5,000.00 ","APARTMENT","60","2","PUERTO MADERO","sell"
"  79,900.00 ","  2,663.33 ","APARTMENT","30","1","NUÑEZ","sell"
"  179,000.00 ","  2,418.92 ","APARTMENT","74","3","FLORES","sell"
"  318,500.00 ","  2,412.88 ","APARTMENT","132","4","BELGRANO","sell"
"  169,900.00 ","  3,033.93 ","APARTMENT","56","3","BELGRANO","sell"
"  360,000.00 ","  3,130.43 ","APARTMENT","115","4","BELGRANO","sell"
"  65,000.00 ","  1,625.00 ","APARTMENT","40","2","PARQUE CHACABUCO","sell"
"  295,000.00 ","  3,554.22 ","APARTMENT","83","3","VILLA CRESPO","sell"
"  104,000.00 ","  1,824.56 ","APARTMENT","57","2","PALERMO","sell"
"  129,000.00 ","  2,687.50 ","APARTMENT","48","2","BELGRANO","sell"
"  245,000.00 ","  3,450.70 ","APARTMENT","71","3","BELGRANO","sell"
"  300,000.00 ","  2,500.00 ","APARTMENT","120","4","BELGRANO","sell"
"  107,000.00 ","  2,377.78 ","APARTMENT","45","2","SAN NICOLAS","sell"
"  60,000.00 ","  2,400.00 ","APARTMENT","25","3","BELGRANO","sell"
"  132,000.00 ","  3,567.57 ","APARTMENT","37","1","PALERMO","sell"
"  600,000.00 ","  2,400.00 ","APARTMENT","250","5","BELGRANO","sell"
"  60,000.00 ","  2,222.22 ","APARTMENT","27","1","CONGRESO","sell"
"  195,000.00 ","  2,635.14 ","APARTMENT","74","4","VILLA DEVOTO","sell"
"  85,000.00 ","  1,307.69 ","APARTMENT","65","3","VILLA DEVOTO","sell"
"  119,000.00 ","  2,704.55 ","APARTMENT","44","4","VILLA URQUIZA","sell"
"  290,000.00 ","  2,320.00 ","APARTMENT","125","3","PALERMO","sell"
"  358,000.00 ","  3,849.46 ","APARTMENT","93","1","CONGRESO","sell"
