,Unnamed: 0.1,operation,property_type,place_name,place_with_parent_names,country_name,state_name,geonames_id,lat-lon,lat,lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url,description,title,image_thumbnail,surface_total_in_m2_reliable,surface_covered_in_m2_reliable,rooms_number,rooms_1,rooms_number_2,rooms_2,rooms_3,pileta,galeria,seguridad,sotano,amenities,terraza,metrobus,subte,cochera,consultorio,place_name_raw,rooms_log,rooms_log_squared,surface_uncovered,surface_uncovered_log,has_surface_uncovered,surface_total_log,surface_total_log_squared,pileta_True,galeria_True,seguridad_True,sotano_True,amenities_True,terraza_True,metrobus_True,subte_True,cochera_True,consultorio_True,has_surface_uncovered_True,property_type_apartment,property_type_house,property_type_store,place_name_Almagro,place_name_Balvanera,place_name_Barracas,place_name_Barrio Norte,place_name_Belgrano,place_name_Boca,place_name_Boedo,place_name_Caballito,place_name_Capital Federal,place_name_Centro / Microcentro,place_name_Chacarita,place_name_Coghlan,place_name_Colegiales,place_name_Congreso,place_name_Constitución,place_name_Flores,place_name_Floresta,place_name_Las Cañitas,place_name_Liniers,place_name_Mataderos,place_name_Monserrat,place_name_Nuñez,place_name_Once,place_name_Otros barrios,place_name_Palermo,place_name_Palermo Chico,place_name_Palermo Hollywood,place_name_Palermo Soho,place_name_Parque Chacabuco,place_name_Parque Patricios,place_name_Paternal,place_name_Puerto Madero,place_name_Recoleta,place_name_Retiro,place_name_Saavedra,place_name_San Cristobal,place_name_San Nicolás,place_name_San Telmo,place_name_Tribunales,place_name_Villa Crespo,place_name_Villa Devoto,place_name_Villa Lugano,place_name_Villa Luro,place_name_Villa Pueyrredón,place_name_Villa Urquiza,place_name_Villa del Parque,rooms_log_scaled,rooms_log_squared_scaled,surface_covered_in_m2_scaled,surface_uncovered_log_scaled,surface_total_log_scaled,surface_total_log_squared_scaled,price_usd_per_m2_pred,price_aprox_usd_pred,sobrevaluado,subvaluado,magnitud_sobrevaluacion,magnitud_subvaluacion
110357,110357,sell,apartment,Belgrano,|Argentina|Capital Federal|Belgrano|,Argentina,Capital Federal,3436077.0,"-34.563643,-58.4594633",-34.563643,-58.45946329999999,199000.0,USD,3511255.5,199000.0,66.0,60.0,3015.151515151515,3316.666666666666,,3.0,,http://www.properati.com.ar/1c3kk_venta_departamento_belgrano_balcon_luminoso_garage_aire-acondicionado_losa-radiante_subte-linea-d_inmobiliaria-calot_gqd,"Departamento 3 AMBIENTES, muy luminoso. Living comedor con balcón al frente. Cocina independiente. 2 dormitorios hiper luminosos con amplios placards. Aire acondicionado. Calefacción por losa radiante. COCHERA FIJA Y CUBIERTA. Baño completo con bañera. SEGURIDAD. - Teléfono:  -  - ",MUY LUMINOSO // JURAMENTO 2700,https://thumbs4.properati.com/6/wHJtXhz4yFMJmcZp_TG0t46cSbw=/trim/198x0/smart/filters:strip_icc()/itdriver.ddns.net/websinca/public/images/3501/clp3501_3.jpg,True,True,2.0,3.0,,3.0,3.0,False,False,True,False,False,False,False,False,True,False,Belgrano,1.3862943611198906,1.9218120556728056,6.0,1.9459101490553132,True,4.189654742026425,17.553206857384513,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29835701951596716,0.1955983781628041,-0.16413086660147194,0.31854900357260535,-0.10724399551405486,-0.17126568703425715,3245.224408259898,214184.81094515327,False,False,0.929104165332052,1.0763055826389611
22291,22291,sell,house,Villa Devoto,|Argentina|Capital Federal|Villa Devoto|,Argentina,Capital Federal,3427451.0,"-34.5873108,-58.511576",-34.5873108,-58.511576,425000.0,USD,7498912.5,425000.0,205.0,205.0,2073.170731707317,2073.170731707317,,,,http://www.properati.com.ar/17i89_venta_casa_villa-devoto_suite_lavadero_parrilla_patio_terraza_vestidor_luminoso_garage_sotelo-propiedades_f7b,"Chalet 5 Ambientes sobre un lote de casi 30 m (8.66 x 29.50 m) con 2 cocheras y fondo libre.En planta baja: living comedor en desnivel, cocina, comedor diario, dormitorio, escritorio, baño, patio y fondo libre de 8.66 x 12 con parrilla y lavadero.En planta alta: 3 dormitorios, el principal en suite con vestidor, baño y terraza al contrafrente.Muy cuidada, solida casa y muy buena orientación.","Casa 5 ambientes   escritorio, fondo libre y 2 cocheras ",https://thumbs4.properati.com/3/bS-7NrJKmM-AjARiqTqcgB-fIhU=/trim/198x0/smart/filters:strip_icc()/static.sumaprop.com/368/466633/files/4992551.jpg,True,True,3.0,3.0,5.0,3.0,3.0,False,False,False,False,False,True,False,False,True,False,Villa Devoto,1.3862943611198906,1.9218120556728056,0.0,0.0,False,5.3230099791384085,28.334435238007078,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.29835701951596716,0.1955983781628041,0.7463579926497323,-1.0085025601740178,1.4479619943510036,1.377695382857032,1958.4827568809137,401488.96516058734,False,False,1.058559604072826,0.9446799180249114
111784,111784,sell,apartment,Monserrat,|Argentina|Capital Federal|Monserrat|,Argentina,Capital Federal,3430570.0,"-34.6197919041,-58.3813379478",-34.6197919041,-58.3813379478,97000.0,USD,1711516.5,97000.0,47.0,41.0,2063.8297872340427,2365.853658536585,,,1000.0,http://www.properati.com.ar/1c65s_venta_departamento_monserrat_calvo-carlos_1100_piscina_aire-acondicionado_subte-linea-e_subte-linea-c_le-bleu_giv,"Departamentos en venta con  piso flotante melamínico y zocalos. Muebles de cocina bajo mesada en terminación de melamina,  mesadas de cocina granito con zócalo,  pileta de acero inoxidable,  anafe eléctrico encastrable y horno eléctrico, carpiterias de aluminio anodizado natural de dos hojas corredizas.  Calefacción y Aire acondicionado por aire mediante equipos tipo Split frío-calor.Le Bleu Negocios InmobiliariosVirrey Olaguer y Feliú 2623 C.A.B.A.Tel:   PROP LBU6192 AP464805Nº Matrícula 5691 Colegio San Isidro CUCICBA 397",Departamento - Monserrat,https://thumbs4.properati.com/3/ZIngGS6EcjzWWpMANCSFRoTOc4Y=/trim/198x0/smart/filters:strip_icc()/tbcn.s3-accelerate.amazonaws.com/water_pics/43091259818500227731663086155793592326291209504149414322741442965798355111441.jpg,True,True,,,,,3.0,True,False,False,False,False,False,False,False,False,False,Monserrat,1.3862943611198906,1.9218120556728056,6.0,1.9459101490553132,True,3.8501476017100584,14.823636554953715,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29835701951596716,0.1955983781628041,-0.2834363033309401,0.31854900357260535,-0.5731204664848243,-0.5634286193765318,2317.407880917484,108918.17040312174,False,False,0.8905768398513225,1.122867736114657
55359,55359,sell,apartment,Barrio Norte,|Argentina|Capital Federal|Barrio Norte|,Argentina,Capital Federal,3436109.0,"-34.5895459,-58.3973636",-34.5895459,-58.39736360000001,1630000.0,ARS,1612996.49,91416.39,31.0,25.0,2948.915806451613,65200.0,,1.0,,http://www.properati.com.ar/19oye_venta_departamento_barrio-norte_balcon_lavadero_parrilla_amenities_subte-linea-d_subte-linea-h_aprop-bienes-raices,"Mono ambiente de 24.50m2 cubiertos con 3m2 de balcón Y 3m2 descubiertos. Calidad y diseño. Amenities: Laundry, solarium con ducha y Parrilla. Modernas unidades aptas profesionales. Espacios de uso flexible que permite su utilización como viviendas u oficinas. En el corazón de la Ciudad. En un entorno caracterizado por la presencia de Universidades y con inmejorables vías de comunicación. Calidad y diseño. Matriculado:Averbuj Nicoletti Mariano MartínCPI 5431Te. +54 11 ",Junín,https://thumbs4.properati.com/8/4HWGAvlpcpbZmgAux7nqMgQe2QY=/trim/198x0/smart/filters:strip_icc()/static.sumaprop.com/11565/686061/files/7044204.jpg,True,True,,1.0,,1.0,1.0,False,False,False,False,True,False,False,False,False,False,Barrio Norte,0.6931471805599453,0.4804530139182014,6.0,1.9459101490553132,True,3.4339872044851463,11.79226812056771,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9376934160154284,-1.6618499419786872,-0.38390403952417645,0.31854900357260535,-1.1441816142305563,-0.9989515048577952,2935.1979600203376,90991.13676063047,False,False,1.0046735677177905,0.9953481729111209
10576,10576,sell,apartment,Otros barrios,|Argentina|Capital Federal|Parque Centenario|,Argentina,Capital Federal,,"-34.6025765028,-58.4360489418",-34.602576502800005,-58.4360489418,160000.0,USD,2823120.0,160000.0,68.0,43.0,2352.9411764705883,3720.930232558139,,2.0,,http://www.properati.com.ar/168d3_venta_departamento_parque-centenario_balcon_terraza_toilette_placard_estrenar_subte-linea-b_abp-propiedades_ehu,"TRIPLEX DE 2 AMBIENTES CON TERRAZA PROPIA. A ESTRENAR. PARA OCUPAR YA!!! MUY BUENA UBICACIÓN CERCA DE TODO. A PASOS DEL PARQUE CENTENARIO. SUBTE ""B"". APTO PROFESIONAL !!! 1era PLANTA: LIVING COMEDOR. VENTANAL. COCINA INTEGRADA. TOILETTE. 2da PLANTA: DORMITORIO PLACARD. SALIDA A BALCÓN BAÑO COMPLETO. 3era PLANTA: TERRAZA PROPIA de 18 M2 . HAY QUE VERLO!!! SOLICITE ENTREVISTA!!!",TRIPLEX EN VENTA VILLA CRESPO TERRAZA PROPIA ,https://thumbs4.properati.com/0/a31VIJQCiP-ZV_I7V_WzhbBUAMw=/trim/198x0/smart/filters:strip_icc()/static.sumaprop.com/11774/573970/files/5695136.jpg,True,True,,2.0,,2.0,2.0,False,False,False,False,False,True,False,True,False,False,Parque Centenario,1.0986122886681098,1.206948960812582,25.0,3.258096538021482,True,4.219507705176107,17.804245274040536,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6296877615083525,-0.7256302791069891,-0.2708778363067856,1.2134202288704241,-0.06627933978624213,-0.13519848571736284,1760.9270524566282,119743.03956705071,False,False,1.3361945761399117,0.748393997294067
46807,46807,sell,apartment,Palermo Hollywood,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,Argentina,Capital Federal,,"-34.5805549,-58.4317453",-34.5805549,-58.431745299999996,259000.0,USD,4569925.5,259000.0,97.0,97.0,2670.103092783505,2670.103092783505,,3.0,,http://www.properati.com.ar/196z5_venta_departamento_palermo-hollywood_balcon_baulera_sum_terraza_toilette_luminoso_garage_amenities_subte-linea-d_grupo-matienzo_g1i,"PRE - VENTA EXCLUSIVA!!!! Tres ambientes con dos baños, toilette y terraza + balcón. - Unidades de 1,2 Y 3 ambientes al frente. Edificio a desarrollarse en 7 pisos con amenities. Cocheras y Bauleras opcionales - SUM con conexión exterior - Terraza Palermo Hollywood es una ubicación que garantiza disfrutar de sus calles soleadas y tranquilas durante el día y a la vez ofrece una gran variedad de opciones de restaurantes, bares y pubs para disfrutrar de la noche de Buenos Aires.",Guatemala 5500 - Palermo Hollywood - Capital Federal,https://thumbs4.properati.com/8/678k6QtPVESqjUI4JNiUA4bVrGU=/trim/198x0/smart/filters:strip_icc()/static.sumaprop.com/439/652504/files/6605843.jpg,True,True,3.0,3.0,,3.0,3.0,False,False,False,False,True,True,False,False,True,False,Palermo Hollywood,1.3862943611198906,1.9218120556728056,0.0,0.0,False,4.574710978503383,20.927980536839378,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29835701951596716,0.1955983781628041,0.06820077334538707,-1.0085025601740178,0.4211355855693043,0.31359493038525,3001.8321722934106,291177.7207124608,False,False,0.8894911305929327,1.1242383039091153
41712,41712,sell,apartment,Villa Lugano,|Argentina|Capital Federal|Villa Lugano|,Argentina,Capital Federal,3427408.0,"-34.6831704633,-58.4663740322",-34.6831704633,-58.4663740322,53000.0,USD,935158.5,53000.0,50.0,50.0,1060.0,1060.0,,3.0,,http://www.properati.com.ar/18uye_venta_departamento_villa-lugano_subte-premetro_am-estudio-inmobiliario-juridico-contable_eos,DEPARTAMENTO DE 3 AMB. EN EXCELENTE ESTADO.UBICADO A MTS DE AV. CRUZ Y SOLDADO D ELA FRONTERA.APTO CREDITO,EDIFICIO 110 LUGANO I Y II,"https://thumbs4.properati.com/2/cYgNhOPDSXw9dvG9YoVJquW351E=/trim/198x0/smart/filters:strip_icc()/maps.googleapis.com/maps/api/staticmap%3Fkey=AIzaSyCtB7aox9MJ3hCrd_u4KJ5N0v8syKusnaA&center=-34.6831704633,-58.4663740322&zoom=19&size=800x600&maptype=satellite&sensor=false",True,True,,3.0,,3.0,3.0,False,False,False,False,False,False,False,False,False,False,Villa Lugano,1.3862943611198906,1.9218120556728056,0.0,0.0,False,3.912023005428146,15.303923994999064,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.29835701951596716,0.1955983781628041,-0.22692320172224467,-1.0085025601740178,-0.4882141676151961,-0.4944247433131038,1518.1915391726905,75909.57695863453,False,False,0.698199122211962,1.43225616903084
117583,117583,sell,store,Capital Federal,|Argentina|Capital Federal|,Argentina,Capital Federal,3433955.0,"-34.5986962068,-58.3740746373",-34.5986962068,-58.3740746373,30000.0,USD,529335.0,30000.0,16.0,16.0,1875.0,,,,,http://www.properati.com.ar/1cdpu_venta_local_capital-federal_cordoba-av-_500_subte-linea-b_subte-linea-h_subte-linea-c_zuker-servicios-inmobiliarios_gsp,                        Oportunidad local en Galería Buenos Aires entrada a la misma por Florida o por Av Córdoba. FRENTE A GALERIAS PACIFICO - Aviso publicado por Sumaprop | Gestión Inmobiliaria Simple.                    ,Local - Microcentro,https://thumbs4.properati.com/9/iOqbRtyMxudfOG-5xPz8xaloo5I=/trim/198x0/smart/filters:strip_icc()/tbcn.s3-accelerate.amazonaws.com/pictures/16423703373866742853342909680870661029089438880172677868042191875803632574898.jpg,True,True,,,,,3.0,False,True,False,False,False,False,False,False,False,False,Capital Federal,1.3862943611198906,1.9218120556728056,0.0,0.0,False,2.772588722239781,7.687248222691222,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29835701951596716,0.1955983781628041,-0.4404171411328719,-1.0085025601740178,-2.0517619099697435,-1.5887280858240376,2375.964085713861,38015.42537142178,False,False,0.7891533425416463,1.2671808457140592
116888,116888,sell,apartment,Recoleta,|Argentina|Capital Federal|Recoleta|,Argentina,Capital Federal,3429595.0,"-34.5904086,-58.3871223",-34.5904086,-58.3871223,500000.0,USD,8822250.0,500000.0,139.0,139.0,3597.1223021582728,3597.1223021582728,,5.0,,http://www.properati.com.ar/1cct8_venta_departamento_recoleta_baulera_suite_toilette_lujoso_dependencias_subte-linea-h_rg-montes_du0,Espectacular semipiso reciclado a nuevo en una de las mejores cuadras de Recoleta (Quintana y Montevideo). Edificio de categoría. Todo luz! Hall de entrada. Living Comedor de muy buenas dimensiones. Toilette de recepción. Tres dormitorios (uno de ellos en suite) + escritorio. Dos dormitorios comparten un baño completo. Dependencia de servicio con baño. Doble puerta de seguridad en planta baja. Baulera. Vale la pena visitarlo!,Sempiso reciclado en Quintana y Montevideo (3dorm + escr),https://thumbs4.properati.com/7/RLfESa0scP0JWrbZ_yA7i3TGUoU=/trim/198x0/smart/filters:strip_icc()/static.sumaprop.com/151/711027/files/7431440.jpg,True,True,,5.0,,5.0,5.0,False,False,True,False,False,False,False,False,False,False,Recoleta,1.791759469228055,3.210401995568401,0.0,0.0,False,4.9344739331306915,24.349032996746278,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6063626740230428,1.856176450574687,0.33192858085263244,-1.0085025601740178,0.9148073697079421,0.8051045145784401,3108.6771019310336,432106.11716841365,False,False,1.1571231698280369,0.8642122343368275
85233,85233,sell,apartment,San Telmo,|Argentina|Capital Federal|San Telmo|,Argentina,Capital Federal,3428113.0,,,,1687942.0,ARS,1670334.06,94665.99,43.0,43.0,2201.5346511627913,39254.46511627907,,,,http://www.properati.com.ar/1b2r8_venta_departamento_san-telmo_balcon_piscina_sum_luminoso_amenities_estrenar_situar-propiedades_gi2,"EXCELENTE AMBIENTE A ESTRENAR!! UBICADO EN BARRANCAS DE MADERO, FRENTE A PARQUE LEZAMA, EN EL BARRIO DE SANT TELMO.SUPER LUMINOSO, BAÑO , ESTAR COMEDOR, DORMITORIO, COCINA. BALCÓN SEMICUBIERTOAMENITIES EN 12º PISO PISCINA, SUM Y HERMOSO SOLARIUM UBICADO EN AZOTEA.EXCELENTE ESTRUCTURA E INSTALACIONES.-CONSÚLTENOS!!SITUAR PROPIEDADES Puerto Madero Aimé Painé 1641 SITUAR PROPIEDADES tu lugar...""Sucursal Puerto Madero                    Aimé Painé 1641                               Tel.  +54 11 Sucursal Zona Norte    Dr. Tomas Anchorena 693La Lucila, Vicente Lopez, Pcia. Bs. As.Tel.  + 1870",Monoambiente en San Telmo a estrenar APTO PROFESIONAL,https://thumbs4.properati.com/2/UtARDwTA4_HTdms1TcX6q5Jg85E=/trim/198x0/smart/filters:strip_icc()/tbcn.s3-accelerate.amazonaws.com/pictures/65408768090084106957668380822365163308302764030332268355617544205789790204788.jpg,True,True,,,,,3.0,True,False,False,False,False,False,False,False,False,False,San Telmo,1.3862943611198906,1.9218120556728056,0.0,0.0,False,3.7612001156935624,14.146626310293268,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.29835701951596716,0.1955983781628041,-0.2708778363067856,-1.0085025601740178,-0.6951754572825817,-0.6606960619975789,2395.951480823929,103025.91367542895,False,False,0.9188561073890023,1.0883096841371322
